Date,Partner,Score,UX,Transaction Experience,Process Quality
11/13/2015,ZZG4ZD,4,Good,Improving,Good
11/13/2015,ZZG4ZD,5,Good,Good,Good
11/13/2015,ZZG4ZD,4,Good,Good,Good
11/12/2015,MEN2KH,5,Good,Good,Good
11/12/2015,MEN2KH,3,Improving,Good,Good
11/13/2015,MEN2KH,5,Good,Good,Good
11/13/2015,MEN2KH,2,Improving,Good,Good
11/13/2015,MEN2KH,5,Good,Good,Good
11/13/2015,MEN2KH,5,Good,Good,Good
11/13/2015,MEN2KH,4,Good,Good,Good
11/13/2015,MEN2KH,5,Improving,Improving,Good
11/13/2015,MEN2KH,5,Good,Good,Good
11/14/2015,MEN2KH,5,Good,Good,Good
11/16/2015,MEN2KH,5,Good,Good,Good
11/16/2015,MEN2KH,4,Good,Good,Good
11/16/2015,MEN2KH,5,Good,Good,Good
11/16/2015,MEN2KH,5,Good,Good,Good
11/16/2015,MEN2KH,3,Good,Improving,Good
11/17/2015,MEN2KH,5,Good,Improving,Good
11/17/2015,MEN2KH,3,Good,Improving,Good
11/17/2015,MEN2KH,2,Improving,Good,Improving
11/17/2015,MEN2KH,5,Good,Good,Good
11/17/2015,MEN2KH,5,Good,Good,Good
11/18/2015,MEN2KH,4,Good,Good,Good
11/18/2015,MEN2KH,5,Good,Good,Good
11/18/2015,MEN2KH,5,Good,Good,Good
11/18/2015,MEN2KH,5,Good,Good,Good
11/18/2015,MEN2KH,4,Good,Good,Good
11/18/2015,MEN2KH,5,Good,Good,Good
11/19/2015,MEN2KH,5,Good,Good,Good
11/19/2015,MEN2KH,5,Good,Good,Good
11/19/2015,MEN2KH,5,Good,Good,Good
12/3/2015,VDGAJ8,4,Good,Good,Good
11/24/2015,GXBENY,5,Good,Good,Good
11/24/2015,GXBENY,5,Good,Good,Good
11/24/2015,GXBENY,3,Improving,Good,Good
11/24/2015,GXBENY,5,Good,Good,Good
11/25/2015,GXBENY,5,Good,Good,Good
11/24/2015,GXBENY,5,Good,Good,Good
11/24/2015,GXBENY,5,Good,Good,Good
11/25/2015,GXBENY,5,Good,Good,Good
11/25/2015,GXBENY,5,Good,Good,Good
12/1/2015,GXBENY,5,Improving,Good,Good
11/30/2015,JQWX4H,5,Good,Good,Good
11/24/2015,H5344T,5,Good,Good,Good
12/2/2015,H5344T,5,Good,Good,Good
11/19/2015,FJGVQ4,5,Good,Good,Good
11/19/2015,FJGVQ4,3,Good,Improving,Improving
11/19/2015,FJGVQ4,5,Good,Good,Good
11/19/2015,FJGVQ4,4,Good,Improving,Good
11/19/2015,FJGVQ4,5,Good,Good,Good
11/19/2015,FJGVQ4,5,Improving,Good,Good
11/19/2015,FJGVQ4,5,Good,Good,Good
11/20/2015,FJGVQ4,4,Good,Improving,Good
11/20/2015,FJGVQ4,5,Good,Good,Good
11/20/2015,FJGVQ4,5,Good,Good,Good
11/20/2015,FJGVQ4,5,Good,Good,Good
11/20/2015,FJGVQ4,5,Good,Good,Good
11/20/2015,FJGVQ4,4,Good,Good,Improving
11/20/2015,FJGVQ4,5,Good,Good,Good
11/23/2015,FJGVQ4,4,Improving,Good,Good
11/23/2015,FJGVQ4,5,Good,Good,Good
11/23/2015,FJGVQ4,2,Good,Good,Improving
11/23/2015,FJGVQ4,5,Good,Good,Good
11/23/2015,FJGVQ4,5,Improving,Good,Good
11/23/2015,FJGVQ4,5,Good,Good,Good
11/24/2015,FJGVQ4,5,Good,Good,Good
11/24/2015,FJGVQ4,5,Good,Good,Good
11/24/2015,FJGVQ4,3,Good,Good,Improving
11/24/2015,FJGVQ4,4,Good,Good,Good
11/24/2015,FJGVQ4,4,Good,Good,Good
11/24/2015,FJGVQ4,4,Good,Good,Good
11/24/2015,FJGVQ4,4,Good,Improving,Good
11/24/2015,FJGVQ4,5,Good,Good,Good
11/25/2015,FJGVQ4,5,Good,Good,Good
11/25/2015,FJGVQ4,5,Good,Improving,Good
11/25/2015,FJGVQ4,5,Good,Good,Good
11/26/2015,FJGVQ4,4,Good,Good,Improving
11/29/2015,FJGVQ4,5,Good,Good,Good
12/3/2015,FJGVQ4,3,Improving,Good,Improving
12/4/2015,FJGVQ4,2,Good,Good,Improving
11/20/2015,K7BN7X,1,Improving,Improving,Good
11/19/2015,J8B7TF,4,Good,Good,Good
11/19/2015,J8B7TF,5,Good,Good,Good
11/20/2015,Q7XKWO,5,Improving,Good,Good
11/23/2015,Q7XKWO,5,Good,Good,Good
11/23/2015,Q7XKWO,5,Good,Good,Good
11/23/2015,Q7XKWO,5,Good,Good,Good
11/23/2015,Q7XKWO,5,Good,Good,Good
11/24/2015,Q7XKWO,5,Good,Good,Good
11/25/2015,Q7XKWO,5,Good,Good,Good
11/25/2015,Q7XKWO,5,Good,Good,Good
11/27/2015,Q7XKWO,5,Good,Good,Good
11/27/2015,Q7XKWO,5,Good,Good,Good
11/27/2015,Q7XKWO,5,Good,Good,Good
11/30/2015,Q7XKWO,5,Improving,Good,Good
12/3/2015,Q7XKWO,5,Good,Good,Good
11/13/2015,886VOM,5,Good,Good,Good
11/16/2015,886VOM,5,Good,Good,Good
11/16/2015,886VOM,5,Good,Good,Good
11/17/2015,886VOM,5,Good,Good,Good
11/20/2015,886VOM,4,Good,Improving,Good
11/20/2015,886VOM,5,Good,Good,Good
11/23/2015,886VOM,3,Improving,Good,Improving
11/23/2015,886VOM,5,Good,Good,Good
11/23/2015,886VOM,5,Good,Good,Good
11/24/2015,886VOM,3,Good,Improving,Improving
11/24/2015,886VOM,5,Good,Improving,Good
11/24/2015,886VOM,4,Good,Good,Improving
11/24/2015,886VOM,5,Good,Good,Good
11/24/2015,886VOM,3,Good,Improving,Good
11/24/2015,886VOM,3,Improving,Improving,Good
11/24/2015,886VOM,5,Improving,Good,Good
11/25/2015,886VOM,4,Good,Good,Improving
12/2/2015,PZOM75,5,Good,Good,Good
11/17/2015,WBBR4Q,5,Good,Good,Good
11/17/2015,WBBR4Q,5,Good,Good,Good
11/17/2015,WBBR4Q,4,Good,Good,Good
11/19/2015,WBBR4Q,5,Good,Good,Good
11/20/2015,WBBR4Q,4,Good,Improving,Good
11/12/2015,MW2WXF,5,Good,Good,Good
11/13/2015,OGO4MV,2,Good,Improving,Good
11/13/2015,OGO4MV,5,Good,Good,Good
11/16/2015,OGO4MV,5,Good,Good,Good
11/16/2015,OGO4MV,5,Improving,Good,Good
11/17/2015,OGO4MV,5,Good,Good,Good
11/18/2015,OGO4MV,5,Good,Good,Good
11/18/2015,OGO4MV,3,Good,Good,Good
11/20/2015,OGO4MV,5,Good,Good,Good
11/18/2015,N4A4WF,5,Good,Good,Good
11/24/2015,N4A4WF,5,Good,Good,Good
11/16/2015,HYM4L1,1,Improving,Improving,Improving
11/16/2015,HYM4L1,5,Good,Good,Good
11/16/2015,HYM4L1,3,Improving,Good,Good
11/16/2015,HYM4L1,5,Good,Good,Good
11/17/2015,HYM4L1,2,Good,Improving,Improving
11/17/2015,HYM4L1,2,Improving,Improving,Good
11/18/2015,HYM4L1,4,Good,Good,Good
11/18/2015,HYM4L1,3,Good,Improving,Good
11/18/2015,HYM4L1,2,Good,Improving,Good
11/18/2015,HYM4L1,5,Good,Improving,Good
11/18/2015,HYM4L1,1,Improving,Good,Improving
11/20/2015,VFZ3ZF,5,Good,Good,Improving
11/24/2015,VFZ3ZF,4,Good,Good,Good
11/25/2015,VFZ3ZF,5,Good,Good,Good
11/28/2015,VFZ3ZF,5,Good,Good,Good
11/20/2015,KKIBJ3,5,Good,Good,Good
11/30/2015,KKIBJ3,5,Good,Good,Good
11/30/2015,KKIBJ3,5,Good,Good,Good
11/30/2015,KKIBJ3,5,Good,Good,Good
12/1/2015,KKIBJ3,5,Good,Good,Good
12/1/2015,KKIBJ3,5,Good,Good,Good
12/1/2015,KKIBJ3,5,Good,Good,Good
12/1/2015,KKIBJ3,5,Good,Good,Good
12/1/2015,KKIBJ3,5,Good,Good,Good
12/2/2015,KKIBJ3,1,Improving,Good,Good
11/19/2015,J4WJ99,5,Good,Good,Good
11/19/2015,J4WJ99,5,Good,Good,Good
11/19/2015,J4WJ99,5,Good,Good,Good
11/19/2015,J4WJ99,5,Good,Good,Good
11/20/2015,J4WJ99,5,Good,Good,Good
11/20/2015,J4WJ99,5,Good,Good,Good
11/20/2015,J4WJ99,5,Good,Good,Good
11/20/2015,J4WJ99,5,Improving,Good,Good
11/23/2015,J4WJ99,5,Good,Good,Good
11/24/2015,J4WJ99,5,Good,Good,Good
11/24/2015,J4WJ99,5,Good,Good,Good
12/2/2015,J4WJ99,5,Good,Good,Good
12/2/2015,J4WJ99,5,Good,Good,Good
11/18/2015,IBAG7I,5,Good,Good,Good
11/17/2015,1MNBQN,3,Improving,Good,Improving
12/7/2015,1MNBQN,4,Good,Improving,Good
11/16/2015,S6PUQ8,2,Good,Improving,Good
11/19/2015,S6PUQ8,5,Good,Good,Good
11/20/2015,S6PUQ8,5,Good,Good,Good
11/20/2015,S6PUQ8,5,Good,Improving,Good
11/20/2015,S6PUQ8,3,Good,Improving,Good
11/23/2015,S6PUQ8,5,Good,Good,Good
11/25/2015,S6PUQ8,2,Good,Improving,Improving
11/25/2015,S6PUQ8,1,Good,Improving,Improving
11/30/2015,S6PUQ8,4,Good,Improving,Good
11/30/2015,S6PUQ8,4,Improving,Good,Good
12/2/2015,S6PUQ8,5,Good,Good,Good
12/4/2015,S6PUQ8,2,Good,Good,Improving
11/13/2015,0IDW37,5,Good,Good,Good
11/23/2015,0IDW37,4,Improving,Good,Improving
11/24/2015,0IDW37,2,Good,Good,Improving
11/25/2015,0IDW37,5,Good,Good,Good
12/3/2015,06I8J7,5,Good,Good,Good
11/25/2015,6B2LAJ,5,Good,Good,Good
11/13/2015,LJ4H9D,3,Good,Improving,Improving
11/24/2015,LJ4H9D,4,Improving,Good,Good
11/27/2015,LJ4H9D,3,Good,Good,Good
11/24/2015,U7794G,1,Good,Improving,Improving
11/26/2015,U7794G,4,Good,Improving,Improving
11/26/2015,U7794G,4,Good,Improving,Improving
11/26/2015,U7794G,2,Improving,Improving,Good
11/26/2015,U7794G,5,Good,Good,Good
11/27/2015,U7794G,4,Good,Improving,Good
11/27/2015,U7794G,2,Improving,Improving,Improving
12/2/2015,U7794G,4,Good,Good,Good
11/23/2015,9DPMRC,4,Good,Good,Good
11/23/2015,9DPMRC,5,Good,Good,Good
11/24/2015,9DPMRC,5,Good,Good,Good
11/24/2015,9DPMRC,5,Improving,Good,Good
11/25/2015,9DPMRC,5,Good,Good,Good
12/1/2015,9DPMRC,4,Good,Good,Good
12/3/2015,9DPMRC,4,Good,Good,Good
11/19/2015,G629BE,5,Good,Good,Good
11/20/2015,G629BE,5,Good,Good,Good
11/23/2015,G629BE,5,Good,Good,Good
11/24/2015,G629BE,1,Improving,Improving,Good
11/17/2015,2U66MR,4,Good,Improving,Good
11/19/2015,2U66MR,5,Good,Good,Good
11/20/2015,2U66MR,2,Good,Improving,Good
11/20/2015,2U66MR,2,Good,Improving,Good
11/23/2015,2U66MR,5,Good,Good,Good
11/19/2015,26846P,5,Good,Good,Good
11/19/2015,26846P,5,Good,Good,Good
11/20/2015,26846P,4,Good,Good,Good
11/22/2015,26846P,5,Good,Good,Good
11/22/2015,26846P,5,Good,Good,Good
11/19/2015,7Q9M2I,5,Good,Good,Good
11/20/2015,7Q9M2I,5,Good,Good,Good
11/20/2015,7Q9M2I,5,Good,Good,Good
11/20/2015,7Q9M2I,5,Good,Good,Good
11/20/2015,7Q9M2I,5,Good,Good,Good
11/20/2015,7Q9M2I,5,Good,Good,Good
11/23/2015,7Q9M2I,5,Good,Good,Good
11/24/2015,7Q9M2I,5,Good,Good,Good
11/24/2015,7Q9M2I,5,Good,Good,Good
11/25/2015,7Q9M2I,5,Good,Good,Good
11/25/2015,7Q9M2I,5,Good,Good,Good
11/16/2015,0HZ2UE,5,Good,Good,Good
11/20/2015,0HZ2UE,4,Good,Improving,Good
11/24/2015,0HZ2UE,4,Good,Good,Good
12/2/2015,0HZ2UE,5,Good,Good,Good
12/2/2015,0HZ2UE,5,Good,Good,Good
11/16/2015,P1ENTH,3,Improving,Good,Improving
11/16/2015,P1ENTH,5,Good,Good,Good
11/16/2015,P1ENTH,3,Improving,Good,Good
11/17/2015,P1ENTH,4,Good,Good,Improving
11/17/2015,P1ENTH,4,Good,Good,Improving
11/17/2015,P1ENTH,5,Good,Good,Good
11/17/2015,P1ENTH,1,Improving,Improving,Improving
11/18/2015,P1ENTH,4,Good,Good,Good
11/18/2015,P1ENTH,5,Good,Improving,Good
11/18/2015,P1ENTH,5,Improving,Good,Good
11/18/2015,P1ENTH,4,Improving,Good,Good
11/18/2015,P1ENTH,5,Good,Good,Good
11/18/2015,P1ENTH,5,Good,Good,Good
11/18/2015,P1ENTH,5,Good,Good,Good
11/19/2015,P1ENTH,5,Good,Good,Good
11/19/2015,P1ENTH,5,Good,Good,Good
11/20/2015,P1ENTH,2,Good,Improving,Improving
11/20/2015,P1ENTH,4,Good,Good,Good
11/20/2015,P1ENTH,5,Good,Good,Good
11/23/2015,P1ENTH,3,Good,Good,Good
11/30/2015,P1ENTH,5,Good,Good,Good
11/30/2015,P1ENTH,5,Good,Good,Good
11/30/2015,P1ENTH,4,Improving,Good,Good
11/30/2015,P1ENTH,5,Good,Good,Good
12/1/2015,P1ENTH,5,Improving,Good,Good
12/1/2015,P1ENTH,5,Good,Good,Good
12/1/2015,P1ENTH,5,Good,Good,Good
12/1/2015,P1ENTH,4,Good,Improving,Good
12/1/2015,P1ENTH,5,Good,Good,Good
12/1/2015,P1ENTH,4,Improving,Good,Good
12/2/2015,P1ENTH,5,Good,Good,Good
12/2/2015,P1ENTH,5,Good,Good,Good
12/2/2015,P1ENTH,5,Good,Good,Good
12/2/2015,P1ENTH,5,Good,Improving,Good
12/2/2015,P1ENTH,5,Good,Good,Good
12/2/2015,P1ENTH,5,Good,Good,Good
12/3/2015,P1ENTH,5,Good,Improving,Good
12/1/2015,JXJQI3,5,Good,Good,Good
11/12/2015,OGZ5KO,5,Good,Good,Good
11/12/2015,OGZ5KO,5,Good,Good,Good
11/12/2015,OGZ5KO,5,Good,Good,Good
11/12/2015,OGZ5KO,5,Good,Good,Good
11/12/2015,OGZ5KO,5,Good,Good,Good
11/12/2015,OGZ5KO,5,Good,Good,Good
11/13/2015,OGZ5KO,5,Good,Good,Good
11/13/2015,OGZ5KO,5,Good,Good,Good
11/13/2015,OGZ5KO,3,Good,Improving,Good
11/13/2015,OGZ5KO,3,Improving,Improving,Improving
11/16/2015,OGZ5KO,5,Good,Good,Good
11/17/2015,OGZ5KO,5,Good,Good,Good
11/17/2015,OGZ5KO,4,Good,Good,Improving
11/17/2015,OGZ5KO,5,Good,Good,Good
11/17/2015,OGZ5KO,4,Improving,Good,Good
11/18/2015,OGZ5KO,4,Good,Good,Good
11/18/2015,OGZ5KO,5,Good,Good,Good
11/18/2015,OGZ5KO,1,Improving,Improving,Good
11/20/2015,OGZ5KO,5,Good,Good,Good
11/20/2015,OGZ5KO,5,Good,Good,Good
11/24/2015,OGZ5KO,5,Improving,Good,Good
12/2/2015,OGZ5KO,5,Good,Good,Good
11/24/2015,K16ZV0,5,Good,Good,Good
11/17/2015,MWUFXB,4,Good,Good,Good
11/17/2015,MWUFXB,4,Good,Good,Good
11/12/2015,V932BY,5,Good,Improving,Good
11/12/2015,V932BY,5,Good,Improving,Good
11/13/2015,V932BY,5,Good,Good,Good
11/13/2015,V932BY,5,Good,Good,Good
11/12/2015,V7S6EH,5,Good,Good,Good
11/13/2015,V7S6EH,5,Good,Good,Good
11/13/2015,V7S6EH,5,Good,Good,Good
11/13/2015,V7S6EH,3,Good,Good,Improving
11/13/2015,V7S6EH,3,Good,Improving,Improving
11/13/2015,V7S6EH,5,Good,Good,Good
11/19/2015,OGFQRC,4,Good,Good,Good
11/20/2015,OGFQRC,4,Good,Good,Good
11/23/2015,OGFQRC,5,Good,Good,Good
11/25/2015,OGFQRC,4,Good,Good,Good
11/24/2015,LRI1QZ,5,Good,Good,Good
11/18/2015,J865UF,5,Good,Good,Good
11/19/2015,J865UF,4,Good,Improving,Good
12/2/2015,J865UF,5,Good,Good,Good
12/4/2015,RDL1ER,1,Improving,Improving,Improving
11/12/2015,BFQFOE,5,Good,Good,Good
11/13/2015,BFQFOE,5,Good,Good,Good
11/13/2015,BFQFOE,5,Good,Good,Good
11/18/2015,QH3AV9,3,Good,Good,Good
11/19/2015,QH3AV9,4,Good,Improving,Good
11/23/2015,0RIC7P,5,Good,Good,Good
12/2/2015,HKQDLM,3,Good,Improving,Good
11/26/2015,HKQDLM,5,Good,Good,Good
11/16/2015,TT7NS2,4,Good,Improving,Good
11/16/2015,TT7NS2,5,Good,Good,Good
11/16/2015,TT7NS2,4,Good,Improving,Good
11/16/2015,TT7NS2,5,Good,Good,Good
11/16/2015,TT7NS2,4,Good,Good,Good
11/17/2015,TT7NS2,5,Good,Good,Good
11/17/2015,TT7NS2,5,Good,Good,Good
11/17/2015,TT7NS2,5,Good,Good,Good
11/17/2015,TT7NS2,5,Good,Good,Good
11/17/2015,TT7NS2,5,Good,Good,Good
11/17/2015,TT7NS2,5,Good,Good,Good
11/17/2015,TT7NS2,4,Good,Good,Good
11/18/2015,TT7NS2,4,Good,Good,Improving
11/18/2015,TT7NS2,5,Good,Good,Good
11/18/2015,TT7NS2,5,Good,Good,Good
11/18/2015,TT7NS2,4,Improving,Good,Good
11/19/2015,TT7NS2,5,Good,Good,Good
11/19/2015,TT7NS2,5,Good,Good,Good
11/19/2015,TT7NS2,5,Good,Good,Good
11/19/2015,TT7NS2,4,Good,Good,Improving
11/20/2015,TT7NS2,3,Good,Improving,Good
11/21/2015,TT7NS2,5,Good,Good,Good
11/26/2015,6LRWBQ,4,Improving,Good,Good
12/3/2015,6LRWBQ,5,Improving,Good,Good
11/13/2015,CAB69M,5,Good,Good,Good
11/16/2015,CAB69M,5,Good,Good,Good
11/19/2015,64P2G1,5,Good,Good,Good
11/19/2015,64P2G1,5,Improving,Good,Good
11/19/2015,64P2G1,5,Improving,Good,Good
11/19/2015,64P2G1,5,Good,Good,Good
11/20/2015,64P2G1,5,Good,Good,Good
11/20/2015,64P2G1,5,Good,Good,Good
11/23/2015,64P2G1,5,Good,Good,Good
11/23/2015,64P2G1,5,Good,Good,Good
11/23/2015,64P2G1,4,Good,Improving,Good
11/24/2015,64P2G1,1,Good,Improving,Good
11/24/2015,64P2G1,3,Improving,Good,Good
11/24/2015,64P2G1,2,Good,Good,Good
11/24/2015,64P2G1,4,Good,Improving,Good
11/24/2015,64P2G1,5,Good,Good,Good
11/25/2015,64P2G1,5,Good,Good,Good
11/25/2015,64P2G1,5,Good,Good,Good
11/25/2015,64P2G1,5,Good,Good,Good
11/25/2015,64P2G1,5,Good,Good,Good
11/25/2015,64P2G1,4,Improving,Good,Good
11/30/2015,64P2G1,5,Improving,Good,Good
11/30/2015,64P2G1,5,Good,Good,Good
12/1/2015,64P2G1,4,Improving,Good,Good
12/1/2015,64P2G1,5,Good,Good,Good
12/2/2015,64P2G1,5,Good,Good,Good
12/2/2015,64P2G1,4,Good,Good,Good
11/19/2015,58Z6TN,5,Good,Good,Good
11/19/2015,58Z6TN,5,Good,Good,Good
11/20/2015,58Z6TN,5,Good,Good,Good
11/13/2015,OVMIZW,5,Good,Good,Good
11/13/2015,OVMIZW,3,Good,Improving,Good
11/14/2015,OVMIZW,4,Good,Good,Good
11/16/2015,OVMIZW,5,Good,Good,Good
11/17/2015,OVMIZW,4,Good,Good,Good
11/18/2015,OVMIZW,5,Good,Good,Good
11/19/2015,OVMIZW,2,Good,Good,Good
11/16/2015,DIAEQ1,4,Good,Good,Good
11/25/2015,DIAEQ1,4,Good,Good,Good
11/25/2015,DIAEQ1,5,Good,Good,Good
11/20/2015,KDFY6S,4,Good,Good,Improving
11/12/2015,PSC3LK,1,Good,Improving,Good
11/13/2015,PSC3LK,5,Good,Good,Good
11/13/2015,PSC3LK,5,Good,Good,Good
11/13/2015,PSC3LK,3,Good,Improving,Good
11/13/2015,PSC3LK,4,Good,Good,Good
11/13/2015,PSC3LK,3,Improving,Improving,Good
11/16/2015,PSC3LK,5,Good,Good,Good
11/16/2015,PSC3LK,4,Good,Good,Good
11/24/2015,R2AQXV,5,Good,Good,Good
11/27/2015,9UPCTN,5,Good,Good,Good
12/2/2015,9UPCTN,5,Good,Good,Good
11/12/2015,WLAVYF,5,Good,Good,Good
11/13/2015,WLAVYF,5,Good,Good,Good
12/2/2015,4R6MP6,3,Good,Improving,Good
11/21/2015,AFQFJZ,5,Good,Good,Good
11/13/2015,CZBTTO,5,Good,Good,Good
11/13/2015,CZBTTO,5,Improving,Good,Good
11/13/2015,CZBTTO,4,Good,Good,Good
11/19/2015,F7JYU5,5,Good,Good,Good
12/1/2015,JSJC61,4,Good,Good,Good
12/1/2015,JSJC61,5,Good,Good,Good
12/4/2015,JSJC61,5,Improving,Good,Good
11/30/2015,6I76BO,4,Good,Good,Improving
12/4/2015,6I76BO,5,Good,Good,Good
11/16/2015,FBCIXG,4,Good,Good,Good
11/18/2015,FBCIXG,2,Improving,Improving,Improving
11/20/2015,FBCIXG,5,Good,Good,Good
11/20/2015,FBCIXG,5,Good,Good,Good
11/21/2015,FBCIXG,5,Good,Good,Good
11/19/2015,Y29DB8,4,Improving,Improving,Good
